ÐòºÅ,self_density,log10_self_sp
558,0.046579793,-1.33180245
559,0.046595032,-1.331660387
560,0.046614988,-1.331474423
561,0.046645721,-1.331188194
562,0.046652349,-1.331126488
563,0.046659719,-1.33105788
564,0.046671452,-1.33094869
565,0.046685282,-1.330820016
566,0.046693657,-1.330742111
567,0.046738953,-1.330321016
568,0.046743064,-1.330282826
569,0.046744369,-1.330270698
570,0.046773237,-1.33000257
571,0.04678468,-1.329896337
572,0.046825877,-1.329514076
573,0.046836357,-1.329416896
574,0.046838869,-1.329393599
575,0.046859038,-1.329206634
576,0.046860038,-1.32919736
577,0.046863253,-1.329167567
578,0.046887052,-1.328947075
579,0.046896349,-1.32886097
580,0.046919357,-1.328647946
581,0.046924577,-1.328599636
582,0.04696301,-1.328244078
583,0.046991261,-1.327982898
584,0.047006816,-1.327839163
585,0.047010366,-1.327806363
586,0.047024114,-1.327679378
587,0.04705667,-1.327378813
588,0.047066747,-1.327285813
589,0.047068952,-1.327265474
590,0.047108983,-1.326896274
591,0.047180496,-1.326237498
592,0.047235127,-1.325734912
593,0.047235429,-1.325732135
594,0.047243076,-1.325661835
595,0.047281125,-1.325312195
596,0.047305247,-1.325090689
597,0.047314259,-1.325007956
598,0.047320595,-1.324949801
599,0.047327663,-1.324884942
600,0.047336947,-1.324799751
601,0.0473725,-1.324473692
602,0.047456041,-1.323708496
603,0.047466552,-1.323612316
604,0.047594084,-1.322447027
605,0.047611757,-1.322285791
606,0.047623297,-1.322180537
607,0.047656331,-1.321879392
608,0.047685107,-1.32161724
609,0.047704113,-1.321444174
610,0.047711758,-1.321374579
611,0.047712876,-1.321364402
612,0.047721009,-1.321290381
613,0.047743988,-1.321081307
614,0.047833248,-1.320270129
615,0.0478946,-1.319713451
616,0.047900864,-1.319656652
617,0.047902233,-1.319644238
618,0.047938555,-1.319315059
619,0.047958657,-1.319132987
620,0.047973544,-1.318998199
621,0.047976752,-1.318969161
622,0.047978734,-1.318951217
623,0.048040832,-1.318389478
624,0.048087596,-1.31796693
625,0.048111148,-1.317754279
626,0.048141532,-1.317480092
627,0.048156742,-1.317342906
628,0.048174079,-1.317186581
629,0.048182268,-1.317112758
630,0.048197112,-1.316978985
631,0.048222151,-1.316753425
