Lon,Lat,Value,Name
104.702,25.394,8.05,4781_Liyh
104.606,26.103,7.477,5910_Liyh
104.687,27.111,8.152,5912_Liyh
101.682,26.05,8.167,H122_Liyh
101.404,30.612,16.883,H345_Liyh
102.875,30.466,10.428,H384_Liyh
103.573,30.715,7.386,HB03_Liyh
103.26,25.13,9.393,H392_Lizj
102.92,24.94,6.114,H383_Lizj
103.03,21.79,6.433,LEM1_Lizj
103.05,22.13,6.439,DON1_Lizj
103.11,21.5,6.343,NAN1_Lizj
103.24,21.93,6.661,HAM1_Lizj
103.24,22.27,6.475,NGA1_Lizj
103.41,21.58,6.259,TGA1_Lizj
103.59,21.31,6.072,CMA1_Lizj
103.63,21.54,6.331,PLA1_Lizj
103.66,21.75,6.781,CUT1_Lizj
103.94,21.31,6.475,DTB1_Lizj
102.1,24.52,2.445,QION_Lizj
101.84,23.66,5.48,LHAS_Lizj
101.7,23.97,1.582,HH28_Lizj
101.39,24.7,0.958,HHXG_Lizj
101.33,23.96,3.523,HHNC_Lizj
101.19,24.8,4.769,HH66_Lizj
101.06,25.04,2.459,HHLY_Lizj
100.97,24.45,1.358,HHHW_Lizj
100.92,24.58,2.05,HHWP_Lizj
100.82,24.48,1.94,HH96_Lizj
102.43,30.19,12.336,CP01_XR16
102.24,29.24,12.409,CP09_XR16
101.61,30.53,13.442,NP21_XR16
103.16,31.44,9.662,NR09_XR16
100.45,31.54,18.234,SC07_XR16
102.02,27.71,9.974,SP22_XR16
99.37,29.04,14.348,SR04_XR16
99.62,26.42,2.426,GA24_XR16
101.27,25.73,8.029,GC02_XR16
101.02,25.31,1.819,GC14_XR16
104.55,31.36,6.169,J033_XR16
103.01,25.17,6.452,BUDO_XR16
102.41,23.32,6.81,G003_XR16
101.91,31.79,12.11,G012_XR16
100.45,25.43,5.937,G020_XR16
99.71,26.52,3.978,G028_XR16
99.38,29.25,14.793,G135_XR16
100.67,31.38,17.596,H129_XR16
103.46,30.98,10.543,H145_XR16
103.8496,31.6712,10.076,GSTS_Wuww
102.3721,31.0004,9.116,SCGY_Wuww
103.8306,31.6709,10.413,H025_Wuww
102.1415,31.9415,10.151,H026_Wuww
102.502,31.3525,10.855,H030_Wuww
102.8329,31.6377,10.834,H031_Wuww
103.676,31.9769,10.118,H032_Wuww
104.145,31.8363,10.598,H033_Wuww
103.387,30.11,7.494,ls01_CSES
102.688,30.976,13.122,ls03_CSES
103.291,29.843,7.401,ls04_CSES
102.924,30.16,7.864,ls05_CSES
102.716,30.447,9.986,ls07_CSES
104.005,21.059,6.295,nah2_CSES
104.011,21.113,6.295,tco1_CSES
104.026,21.489,7.587,mla1_CSES
104.031,21.473,7.957,tpu1_CSES
104.044,21.204,6.941,nsa1_CSES
104.064,21.203,7.31,lot1_CSES
104.172,21.131,7.495,noi1_CSES
104.245,21.189,7.679,mon1_CSES
104.257,21.192,8.233,che1_CSES
104.458,21.691,8.509,nam0_CSES
105.033,21.384,6.572,lap1_CSES
105.181,21.191,6.479,son1_CSES
105.186,21.475,6.941,nth0_CSES
105.202,21.677,7.217,doi0_CSES
105.33,21.361,6.756,hun1_CSES
105.336,21.853,7.125,oan0_CSES
105.373,21.097,5.925,bav1_CSES
